Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-04-21 16:14:57
OpenMP threads number, per Process;1
Used statistics;./in.rhodo.scaled.timer_1n_1ont_864k_aps
Elapsed Time, s;182.87
MPI Time, s;0.05
MPI Time, % of Elapsed Time;0.03
MPI Imbalance;                            N/A*

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
        MPI_Cart_get;            0.00;            0.00;             N/A;             N/A;               2;             N/A
      MPI_Cart_shift;            0.00;            0.00;             N/A;             N/A;               6;             N/A
       MPI_Comm_size;            0.00;            0.00;             N/A;             N/A;              18;             N/A
       MPI_Cart_rank;            0.00;            0.00;             N/A;             N/A;               2;             N/A
       MPI_Type_size;            0.00;            0.00;             N/A;             N/A;               2;             N/A
| TOTAL             ;            0.05;            0.03;             N/A;             N/A;            1898;             N/A

Function;Time(sec);Time(%);Volume(MB);Volume(%);Calls;MsgSize(B)
            MPI_Init;            0.04;            0.02;             N/A;             N/A;               1             ;N/A
        MPI_Finalize;            0.01;            0.00;             N/A;             N/A;               1             ;N/A
       MPI_Alltoallv;            0.01;            0.00;             N/A;             N/A;              21             ;N/A
       MPI_Allreduce;            0.00;            0.00;             N/A;             N/A;             890             ;N/A
       MPI_Comm_free;            0.00;            0.00;             N/A;             N/A;               9             ;N/A
          MPI_Reduce;            0.00;            0.00;             N/A;             N/A;               3             ;N/A
           MPI_Bcast;            0.00;            0.00;             N/A;             N/A;             864             ;N/A
        MPI_Comm_dup;            0.00;            0.00;             N/A;             N/A;               7             ;N/A
     MPI_Cart_create;            0.00;            0.00;             N/A;             N/A;               2             ;N/A
        MPI_Alltoall;            0.00;            0.00;             N/A;             N/A;              21             ;N/A
         MPI_Barrier;            0.00;            0.00;             N/A;             N/A;               9             ;N/A
       MPI_Allgather;            0.00;            0.00;             N/A;             N/A;              14             ;N/A
       MPI_Comm_rank;            0.00;            0.00;             N/A;             N/A;              26             ;N/A
        MPI_Cart_get;            0.00;            0.00;             N/A;             N/A;               2             ;N/A
      MPI_Cart_shift;            0.00;            0.00;             N/A;             N/A;               6             ;N/A
       MPI_Comm_size;            0.00;            0.00;             N/A;             N/A;              18             ;N/A
       MPI_Cart_rank;            0.00;            0.00;             N/A;             N/A;               2             ;N/A
       MPI_Type_size;            0.00;            0.00;             N/A;             N/A;               2             ;N/A

WARNING: No information about Volume of transfers. Set the APS_STAT_LEVEL value to 2 or greater to generate results. 
| % - percentage of MPI functions total time
| Function summary for all Ranks
Function;Time(sec);Time(%);Imbalance(sec);Imbalance(%);Volume(MB);Volume(%);Calls
                  MPI_Init;            0.04;           69.37     ;            0.00    ;            0.00;              N/A;             N/A;                1
                              ; Min:;0.0355          
                              ; Avg:;0.0355          
                              ; Max:;0.0355          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
              MPI_Finalize;            0.01;           10.38     ;            0.00    ;            0.00;              N/A;             N/A;                1
                              ; Min:;0.0053          
                              ; Avg:;0.0053          
                              ; Max:;0.0053          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
             MPI_Alltoallv;            0.01;           10.04     ;            0.00    ;            0.00;              N/A;             N/A;               21
                              ; Min:;0.0000          
                              ; Avg:;0.0002          
                              ; Max:;0.0021          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
             MPI_Allreduce;            0.00;            4.78     ;            0.00    ;            0.00;              N/A;             N/A;              890
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0005          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
             MPI_Comm_free;            0.00;            3.07     ;            0.00    ;            0.00;              N/A;             N/A;                9
                              ; Min:;0.0000          
                              ; Avg:;0.0002          
                              ; Max:;0.0011          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
                MPI_Reduce;            0.00;            1.01     ;            0.00    ;            0.00;              N/A;             N/A;                3
                              ; Min:;0.0000          
                              ; Avg:;0.0002          
                              ; Max:;0.0005          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
                 MPI_Bcast;            0.00;            0.45     ;            0.00    ;            0.00;              N/A;             N/A;              864
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0001          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
              MPI_Comm_dup;            0.00;            0.38     ;            0.00    ;            0.00;              N/A;             N/A;                7
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0001          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
           MPI_Cart_create;            0.00;            0.22     ;            0.00    ;            0.00;              N/A;             N/A;                2
                              ; Min:;0.0000          
                              ; Avg:;0.0001          
                              ; Max:;0.0001          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
              MPI_Alltoall;            0.00;            0.15     ;            0.00    ;            0.00;              N/A;             N/A;               21
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0000          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
               MPI_Barrier;            0.00;            0.07     ;            0.00    ;            0.00;              N/A;             N/A;                9
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0000          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
             MPI_Allgather;            0.00;            0.03     ;            0.00    ;            0.00;              N/A;             N/A;               14
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0000          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
             MPI_Comm_rank;            0.00;            0.01     ;            0.00    ;            0.00;              N/A;             N/A;               26
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0000          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
              MPI_Cart_get;            0.00;            0.01     ;            0.00    ;            0.00;              N/A;             N/A;                2
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0000          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
            MPI_Cart_shift;            0.00;            0.01     ;            0.00    ;            0.00;              N/A;             N/A;                6
                              ; Min:;0.0000          
| TOTAL                   ;            0.05;          100.00     ;            0.00    ;            0.00;              N/A;             N/A;             1898

WARNING: No information about Volume of transfers. Set the APS_STAT_LEVEL value to 2 or greater to generate results. 
| Communicators used in the application
Communicator Id;Communicator Size;Time (Rank Average)(sec);Ranks
